junglebook,3.1,2331000,1122947,1920000
demolition,2.2,1640770,176298,2328
fan,3.2,19200000,1300000,1777
hardcorehenry,2.2,9835,5598,3925
beforeiwake,1.8,177900,114000,3407
louderthanbombs,1.75,21500,23400,3877
criminal,3.3,1933000,536000,1777
greenroom,2.1,2221600,28000,5219
elvis,2.1,5006000,4090000,1777
Huntsman,2.3,21600000,199000,1777
Hologram,1.9,11700000,5598,8693
